reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,num_images,n_bins
L1,0.1,1,0.1958743085433313,0.18988,conv1,val,0.29963122311001844,26032,30
L1,0.1,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.1,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.1,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.1,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.2,1,0.1958743085433313,0.18988,conv1,train,0.024,25000,30
L1,0.2,1,0.1958743085433313,0.18988,conv1,val,0.011524277811923786,26032,30
L1,0.2,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.2,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.2,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.2,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.0001,47,0.8796481253841426,1.0,conv1,train,100.0,25000,30
L2,0.0001,47,0.8796481253841426,1.0,conv1,val,100.0,26032,30
L2,0.0001,47,0.8796481253841426,1.0,conv3,train,99.996,25000,30
L2,0.0001,47,0.8796481253841426,1.0,conv3,val,99.99615857406269,26032,30
L2,0.0001,47,0.8796481253841426,1.0,fc1,train,56.208000000000006,25000,30
L2,0.0001,47,0.8796481253841426,1.0,fc1,val,56.119391518131536,26032,30
L2,0.0005,47,0.874039643515673,0.99832,conv1,train,100.0,25000,30
L2,0.0005,47,0.874039643515673,0.99832,conv1,val,100.0,26032,30
L2,0.0005,47,0.874039643515673,0.99832,conv3,train,99.996,25000,30
L2,0.0005,47,0.874039643515673,0.99832,conv3,val,99.99615857406269,26032,30
L2,0.0005,47,0.874039643515673,0.99832,fc1,train,34.664,25000,30
L2,0.0005,47,0.874039643515673,0.99832,fc1,val,35.44483712354026,26032,30
L2,0.001,32,0.8658958205285802,0.97512,conv1,train,100.0,25000,30
L2,0.001,32,0.8658958205285802,0.97512,conv1,val,100.0,26032,30
L2,0.001,32,0.8658958205285802,0.97512,conv3,train,99.97200000000001,25000,30
L2,0.001,32,0.8658958205285802,0.97512,conv3,val,99.92701290719114,26032,30
L2,0.001,32,0.8658958205285802,0.97512,fc1,train,23.268,25000,30
L2,0.001,32,0.8658958205285802,0.97512,fc1,val,24.919330055316532,26032,30
L2,0.0015,55,0.8695067609096496,0.97248,conv1,train,100.0,25000,30
L2,0.0015,55,0.8695067609096496,0.97248,conv1,val,100.0,26032,30
L2,0.0015,55,0.8695067609096496,0.97248,conv3,train,99.83999999999999,25000,30
L2,0.0015,55,0.8695067609096496,0.97248,conv3,val,99.87707437000614,26032,30
L2,0.0015,55,0.8695067609096496,0.97248,fc1,train,12.803999999999998,25000,30
L2,0.0015,55,0.8695067609096496,0.97248,fc1,val,14.582052858020896,26032,30
L2,0.002,41,0.868661647203442,0.9518,conv1,train,100.0,25000,30
