reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,num_images,n_bins
L1,0.05,1,0.1,0.10028,fc1,val,0.01,10000,30
L1,0.1,1,0.1,0.09916,conv1,train,2.864,25000,30
L1,0.1,1,0.1,0.09916,conv1,val,6.21,10000,30
L1,0.1,1,0.1,0.09916,conv3,train,0.004,25000,30
L1,0.1,1,0.1,0.09916,conv3,val,0.01,10000,30
L1,0.1,1,0.1,0.09916,fc1,train,0.004,25000,30
L1,0.1,1,0.1,0.09916,fc1,val,0.01,10000,30
L1,0.2,1,0.1,0.10028,conv1,train,3.5639999999999996,25000,30
L1,0.2,1,0.1,0.10028,conv1,val,8.24,10000,30
L1,0.2,1,0.1,0.10028,conv3,train,0.004,25000,30
L1,0.2,1,0.1,0.10028,conv3,val,0.01,10000,30
L1,0.2,1,0.1,0.10028,fc1,train,0.004,25000,30
L1,0.2,1,0.1,0.10028,fc1,val,0.01,10000,30
L2,0.0,43,0.6931,0.99692,conv1,train,100.0,25000,30
L2,0.0,43,0.6931,0.99692,conv1,val,100.0,10000,30
L2,0.0,43,0.6931,0.99692,conv3,train,100.0,25000,30
L2,0.0,43,0.6931,0.99692,conv3,val,100.0,10000,30
L2,0.0,43,0.6931,0.99692,fc1,train,99.56,25000,30
L2,0.0,43,0.6931,0.99692,fc1,val,99.81,10000,30
L2,0.0001,57,0.7136,1.0,conv1,train,100.0,25000,30
L2,0.0001,57,0.7136,1.0,conv1,val,100.0,10000,30
L2,0.0001,57,0.7136,1.0,conv3,train,100.0,25000,30
L2,0.0001,57,0.7136,1.0,conv3,val,100.0,10000,30
L2,0.0001,57,0.7136,1.0,fc1,train,89.196,25000,30
L2,0.0001,57,0.7136,1.0,fc1,val,94.59,10000,30
L2,0.0005,57,0.7069,0.99996,conv1,train,100.0,25000,30
L2,0.0005,57,0.7069,0.99996,conv1,val,100.0,10000,30
L2,0.0005,57,0.7069,0.99996,conv3,train,100.0,25000,30
L2,0.0005,57,0.7069,0.99996,conv3,val,100.0,10000,30
L2,0.0005,57,0.7069,0.99996,fc1,train,52.94799999999999,25000,30
L2,0.0005,57,0.7069,0.99996,fc1,val,66.07,10000,30
L2,0.001,41,0.7057,0.98344,conv1,train,100.0,25000,30
L2,0.001,41,0.7057,0.98344,conv1,val,100.0,10000,30
L2,0.001,41,0.7057,0.98344,conv3,train,99.944,25000,30
