reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
L1,0.001,1,0.1,0.1012,conv1,val,0.05,10000,10
L1,0.001,1,0.1,0.1012,conv3,train,0.004,25000,10
L1,0.001,1,0.1,0.1012,conv3,val,0.01,10000,10
L1,0.001,1,0.1,0.1012,fc1,train,0.004,25000,10
L1,0.001,1,0.1,0.1012,fc1,val,0.01,10000,10
L1,0.0015,1,0.1,0.10072,conv1,train,0.004,25000,10
L1,0.0015,1,0.1,0.10072,conv1,val,0.01,10000,10
L1,0.0015,1,0.1,0.10072,conv3,train,0.004,25000,10
L1,0.0015,1,0.1,0.10072,conv3,val,0.01,10000,10
L1,0.0015,1,0.1,0.10072,fc1,train,0.004,25000,10
L1,0.0015,1,0.1,0.10072,fc1,val,0.01,10000,10
L1,0.002,1,0.1,0.10088,conv1,train,0.008,25000,10
L1,0.002,1,0.1,0.10088,conv1,val,0.02,10000,10
L1,0.002,1,0.1,0.10088,conv3,train,0.004,25000,10
L1,0.002,1,0.1,0.10088,conv3,val,0.01,10000,10
L1,0.002,1,0.1,0.10088,fc1,train,0.004,25000,10
L1,0.002,1,0.1,0.10088,fc1,val,0.01,10000,10
L1,0.003,1,0.1,0.10072,conv1,train,0.004,25000,10
L1,0.003,1,0.1,0.10072,conv1,val,0.01,10000,10
L1,0.003,1,0.1,0.10072,conv3,train,0.004,25000,10
L1,0.003,1,0.1,0.10072,conv3,val,0.01,10000,10
L1,0.003,1,0.1,0.10072,fc1,train,0.004,25000,10
L1,0.003,1,0.1,0.10072,fc1,val,0.01,10000,10
L1,0.005,1,0.1,0.1006,conv1,train,0.004,25000,10
L1,0.005,1,0.1,0.1006,conv1,val,0.01,10000,10
L1,0.005,1,0.1,0.1006,conv3,train,0.004,25000,10
L1,0.005,1,0.1,0.1006,conv3,val,0.01,10000,10
L1,0.005,1,0.1,0.1006,fc1,train,0.004,25000,10
L1,0.005,1,0.1,0.1006,fc1,val,0.01,10000,10
L1,0.01,1,0.1,0.0996,conv1,train,0.004,25000,10
L1,0.01,1,0.1,0.0996,conv1,val,0.01,10000,10
